"Time of Event";"Server ID";"Rank";"CPU";;"Latency";"Request Serving Time"
;;;;"%";;
30;2;45.3977342417;0.3845958515;;27.927126;4608.186589
30;1;44.3077130382;0.7496015005;;28.463145;4612.9058
30;2;46.3977342417;0.3845958515;;27.927126;4610.952524
30;2;47.8977342417;0.3845958515;;27.927126;4616.026748
30;2;41.3977342417;0.3845958515;;27.927126;4633.064142
30;1;43.8077130382;0.7496015005;;28.463145;4638.242397
30;2;50.3977342417;0.3845958515;;27.927126;4630.614967
30;2;37.8977342417;0.3845958515;;27.927126;4653.965168
30;2;50.8977342417;0.3845958515;;27.927126;4638.828799
30;2;43.8977342417;0.3845958515;;27.927126;4657.531633
30;2;39.8977342417;0.3845958515;;27.927126;4667.952523
30;1;50.8077130382;0.7496015005;;28.463145;4652.734982
30;1;47.3077130382;0.7496015005;;28.463145;4661.867372
30;1;42.3077130382;0.7496015005;;28.463145;4678.314632
30;1;42.8077130382;0.7496015005;;28.463145;4679.642318
30;1;44.8077130382;0.7496015005;;28.463145;4683.035708
30;1;47.8077130382;0.7496015005;;28.463145;4677.95262
30;1;49.8077130382;0.7496015005;;28.463145;4678.339357
30;1;50.3077130382;0.7496015005;;28.463145;4681.60679
30;1;45.3077130382;0.7496015005;;28.463145;4686.852689
30;1;48.3077130382;0.7496015005;;28.463145;4742.297345
30;1;49.3077130382;0.7496015005;;28.463145;4742.977516
30;1;46.8077130382;0.7496015005;;28.463145;4752.53303
30;1;46.8077130382;0.7496015005;;28.463145;4764.477073
30;1;46.8077130382;0.7496015005;;28.463145;4797.386987
30;1;43.8077130382;0.7496015005;;28.463145;4807.165493
30;2;40.8977342417;0.3845958515;;27.927126;4813.95274
30;1;48.8077130382;0.7496015005;;28.463145;4807.503713
30;2;44.3977342417;0.3845958515;;27.927126;4861.67433
30;2;45.8977342417;0.3845958515;;27.927126;4880.407487
30;2;48.8977342417;0.3845958515;;27.927126;4886.456715
30;2;36.8977342417;0.3845958515;;27.927126;4905.251917
30;2;45.3977342417;0.3845958515;;27.927126;4938.848067
30;2;40.8977342417;0.3845958515;;27.927126;4974.29346
30;2;38.8977342417;0.3845958515;;27.927126;4986.759994
30;2;49.3977342417;0.3845958515;;27.927126;4969.92693
30;2;35.8977342417;0.3845958515;;27.927126;5121.779043
30;2;49.8977342417;0.3845958515;;27.927126;5124.577168
30;2;39.3977342417;0.3845958515;;27.927126;5156.224707
30;2;42.8977342417;0.3845958515;;27.927126;5158.83856
30;2;41.8977342417;0.3845958515;;27.927126;5166.651661
30;2;35.8977342417;0.3845958515;;27.927126;5176.565454
30;2;42.8977342417;0.3845958515;;27.927126;5176.624235
30;2;35.8977342417;0.3845958515;;27.927126;5189.372074
30;2;38.3977342417;0.3845958515;;27.927126;5194.791048
30;2;36.8977342417;0.3845958515;;27.927126;5197.791637
30;2;47.8977342417;0.3845958515;;27.927126;5195.788446
30;2;43.3977342417;0.3845958515;;27.927126;5215.558186
30;2;48.8977342417;0.3845958515;;27.927126;5207.849583
30;2;37.3977342417;0.3845958515;;27.927126;5240.321444
30;2;46.8977342417;0.3845958515;;27.927126;5290.80757
35;1;51.3077130382;0.7496015005;;28.463145;4518.705399
35;1;51.8077130382;0.7496015005;;28.463145;4524.749496
35;1;52.3077130382;0.7496015005;;28.463145;4525.048062
35;1;53.3077130382;0.7496015005;;28.463145;4517.846555
35;1;52.8077130382;0.7496015005;;28.463145;4527.88584
35;1;53.8077130382;0.7496015005;;28.463145;4522.625012
35;1;54.3077130382;0.7496015005;;28.463145;4524.296516
35;1;55.3077130382;0.7496015005;;28.463145;4530.306557
35;1;54.8077130382;0.7496015005;;28.463145;4536.830227
35;1;57.8077130382;0.7496015005;;28.463145;4531.623514
35;1;56.8077130382;0.7496015005;;28.463145;4535.238963
35;1;58.8077130382;0.7496015005;;28.463145;4535.091079
35;1;56.3077130382;0.7496015005;;28.463145;4541.057736
35;1;57.3077130382;0.7496015005;;28.463145;4542.810878
35;1;58.8077130382;0.7496015005;;28.463145;4543.034337
35;1;56.3077130382;0.7496015005;;28.463145;4548.421122
35;1;59.8077130382;0.7496015005;;28.463145;4544.093313
35;1;59.8077130382;0.7496015005;;28.463145;4548.299829
35;1;60.8077130382;0.7496015005;;28.463145;4553.776651
35;1;61.8077130382;0.7496015005;;28.463145;4554.565986
35;1;61.3077130382;0.7496015005;;28.463145;4559.383629
35;1;60.8077130382;0.7496015005;;28.463145;4562.4402
35;1;62.3077130382;0.7496015005;;28.463145;4564.168617
35;1;62.8077130382;0.7496015005;;28.463145;4566.247384
35;1;63.3077130382;0.7496015005;;28.463145;4662.415987
35;2;62.8977342417;0.3845958515;;27.927126;4724.18418
35;2;56.3977342417;0.3845958515;;27.927126;4742.65749
35;2;51.8977342417;0.3845958515;;27.927126;4787.163898
35;2;57.8977342417;0.3845958515;;27.927126;4759.673892
35;2;60.3977342417;0.3845958515;;27.927126;4772.499171
35;2;58.3977342417;0.3845958515;;27.927126;4795.019451
35;2;51.3977342417;0.3845958515;;27.927126;4838.500471
35;2;60.8977342417;0.3845958515;;27.927126;4828.423398
35;2;52.3977342417;0.3845958515;;27.927126;4865.411072
35;2;55.8977342417;0.3845958515;;27.927126;4884.318236
35;2;55.8977342417;0.3845958515;;27.927126;4903.693775
35;2;61.3977342417;0.3845958515;;27.927126;4900.372694
35;2;52.8977342417;0.3845958515;;27.927126;4964.479032
35;2;56.8977342417;0.3845958515;;27.927126;5029.735316
35;2;53.8977342417;0.3845958515;;27.927126;5073.993074
35;2;59.8977342417;0.3845958515;;27.927126;5074.372813
35;2;53.3977342417;0.3845958515;;27.927126;5097.483228
35;2;54.3977342417;0.3845958515;;27.927126;5105.562706
35;2;58.8977342417;0.3845958515;;27.927126;5110.048195
35;2;61.8977342417;0.3845958515;;27.927126;5113.431323
35;2;57.3977342417;0.3845958515;;27.927126;5152.573336
35;2;59.3977342417;0.3845958515;;27.927126;5153.061306
35;2;54.8977342417;0.3845958515;;27.927126;5170.426655
35;2;62.3977342417;0.3845958515;;27.927126;5164.073262
76;1;49.0650121471;19.3096982459;;29.240816;65.319263
76;1;49.5650121471;19.3096982459;;29.240816;63.841828
76;1;48.5650121471;19.3096982459;;29.240816;138.037366
76;1;48.0650121471;19.3096982459;;29.240816;148.057991
76;1;47.5650121471;19.3096982459;;29.240816;157.664355
77;1;50.0650121471;19.3096982459;;29.240816;57.625122
77;1;52.0650121471;19.3096982459;;29.240816;23.51068
77;1;51.5650121471;19.3096982459;;29.240816;35.527498
77;0;52.8483079102;0;;27.864614;13.103786
77;0;53.8483079102;0;;27.864614;8.08461
77;0;53.8483079102;0;;27.864614;9.474808
77;1;53.0650121471;19.3096982459;;29.240816;14.385287
77;1;52.5650121471;19.3096982459;;29.240816;19.01866
77;1;53.5650121471;19.3096982459;;29.240816;11.292796
77;0;54.3483079102;0;;27.864614;6.099612
77;1;54.0650121471;19.3096982459;;29.240816;10.339717
77;0;54.8483079102;0;;27.864614;6.474219
77;0;55.3483079102;0;;27.864614;5.674622
77;1;54.5650121471;19.3096982459;;29.240816;14.301315
77;1;55.0650121471;19.3096982459;;29.240816;10.817889
77;0;55.8483079102;0;;27.864614;4.594186
77;1;55.5650121471;19.3096982459;;29.240816;8.811432
77;0;56.3483079102;0;;27.864614;4.650167
77;1;56.0650121471;19.3096982459;;29.240816;9.272809
77;1;56.5650121471;19.3096982459;;29.240816;9.136122
77;1;50.5650121471;19.3096982459;;29.240816;100.404977
77;1;51.0650121471;19.3096982459;;29.240816;150.708232
77;2;50.3673812201;18.3692981475;;32.451334;178.508467
77;2;50.8673812201;18.3692981475;;32.451334;175.129538
77;2;51.8673812201;18.3692981475;;32.451334;549.804322
77;2;54.3673812201;18.3692981475;;32.451334;534.360992
77;2;55.3673812201;18.3692981475;;32.451334;656.32244
